City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
6,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
7,Porto Novo,BJ,75.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
9,Lae,PG,92.07,overcast clouds,-6.7221,146.9847,Phils Hotel
13,Atuona,PF,76.69,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
14,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Gwadar,PK,81.18,overcast clouds,25.1216,62.3254,Sadaf Resort
31,Samarai,PG,82.94,clear sky,-10.6167,150.6667,Nuli Sapi
34,Shache,CN,85.44,scattered clouds,38.4167,77.2406,Delong Hotel
36,Naze,JP,83.32,light rain,28.3667,129.4833,Shishime Hotel
40,Katsuura,JP,83.89,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
45,Vavuniya,LK,87.08,overcast clouds,8.7514,80.4971,Thampa Hotel
46,Hampton,US,79.02,broken clouds,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
47,Fukue,JP,77.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
49,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Ternate,ID,83.77,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
56,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Manavalakurichi,IN,78.69,overcast clouds,8.1333,77.3,Jebinrio home
63,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
64,Butaritari,KI,82.42,broken clouds,3.0707,172.7902,Isles Sunset Lodge
69,Urucui,BR,79.18,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
70,Katangi,IN,85.26,clear sky,23.45,79.7833,कपिल
76,Lorengau,PG,84.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
87,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
90,Georgetown,MY,85.98,scattered clouds,5.4112,100.3354,Cititel Penang
101,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
107,Rancho Palos Verdes,US,86.72,clear sky,33.7445,-118.387,Terranea Resort
110,Dingle,PH,85.48,light rain,10.9995,122.6711,SEGAYA PROPERTY
112,Mingaora,PK,79.66,clear sky,34.7758,72.3625,Burj Al Swat
124,Nabire,ID,84.88,broken clouds,-3.3667,135.4833,Hotel Nusantara I
125,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
132,Shingu,JP,81.27,overcast clouds,33.7333,135.9833,Shingu UI Hotel
133,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
134,Puerto Escondido,MX,79.14,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
135,Jinxiang,CN,83.14,broken clouds,27.4327,120.6062,Wolong Village
136,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
137,Marzuq,YE,85.95,overcast clouds,14.4,46.4667,حيد القفلة
141,Kachiry,KZ,82.63,overcast clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
142,Sitarganj,IN,92.41,clear sky,28.9333,79.7,OYO 37021 Hotel Sitar International
143,Korla,CN,86.99,clear sky,41.7597,86.1469,Gulisitan Hotel
148,Macau,MO,94.8,clear sky,22.2006,113.5461,Grand Emperor Hotel
151,Tautira,PF,77.13,light rain,-17.7333,-149.15,Pension Oaoa
152,Dharchula,IN,81.25,clear sky,29.85,80.5333,Mahara Hotel
156,Austin,US,81.59,clear sky,30.2672,-97.7431,The Driskill - The Unbound Collection by Hyatt
157,Chenzhou,CN,94.6,broken clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
158,Oriximina,BR,79.16,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
159,Boyolangu,ID,83.32,broken clouds,-8.1181,111.8935,Yos ega cv
161,Kokoda,PG,87.44,few clouds,-8.8785,147.7407,Daito Guest House
171,Pacifica,US,89.44,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
172,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
173,San Patricio,US,82.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
174,Matara,LK,80.4,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
175,Kavaratti,IN,76.59,overcast clouds,10.5669,72.642,Green leaf
176,Tripoli,LY,80.94,clear sky,32.8752,13.1875,Al Waddan Hotel
177,Jalu,LY,76.75,clear sky,29.0331,21.5482,صاحبة الفخامة
178,Lompoc,US,82.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
179,Lujiang,CN,94.15,broken clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
