City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,2022-09-06 04:37:42,-22.9661,-42.0278,66.25,65,88,11.99,overcast clouds
1,Nouadhibou,MR,2022-09-06 04:42:28,20.931,-17.0347,75.18,78,0,11.5,clear sky
2,Punta Arenas,CL,2022-09-06 04:42:28,-53.15,-70.9167,33.91,86,40,20.71,light intensity shower rain
3,Hot Springs,US,2022-09-06 04:42:29,34.5037,-93.0552,72.72,90,100,3.0,overcast clouds
4,Saldanha,ZA,2022-09-06 04:42:29,-33.0117,17.9442,48.25,80,7,5.44,clear sky
5,Provideniya,RU,2022-09-06 04:42:29,64.3833,-173.3,48.36,93,100,8.95,light intensity shower rain
6,Cayenne,GF,2022-09-06 04:42:30,4.9333,-52.3333,77.04,94,96,0.0,overcast clouds
7,Porto Novo,BJ,2022-09-06 04:42:30,6.4965,2.6036,75.02,93,51,4.9,broken clouds
8,Saint George,US,2022-09-06 04:42:30,37.1041,-113.5841,97.39,19,0,3.44,clear sky
9,Lae,PG,2022-09-06 04:42:31,-6.7221,146.9847,92.07,66,98,8.08,overcast clouds
10,New Norfolk,AU,2022-09-06 04:42:31,-42.7826,147.0587,52.72,65,59,2.46,broken clouds
11,Lesosibirsk,RU,2022-09-06 04:42:31,58.2358,92.4828,46.69,96,100,7.38,moderate rain
12,Carnarvon,AU,2022-09-06 04:42:32,-24.8667,113.6333,65.19,58,85,13.27,overcast clouds
13,Atuona,PF,2022-09-06 04:42:32,-9.8,-139.0333,76.69,71,0,19.71,clear sky
14,Hilo,US,2022-09-06 04:42:32,19.7297,-155.09,79.29,96,100,1.01,moderate rain
15,Kapchorwa,UG,2022-09-06 04:42:32,1.3965,34.4509,60.82,80,81,0.98,broken clouds
16,Rikitea,PF,2022-09-06 04:42:33,-23.1203,-134.9692,72.39,69,85,20.56,light rain
17,Vardo,NO,2022-09-06 04:42:33,70.3705,31.1107,44.58,76,100,20.71,overcast clouds
18,Ponta Do Sol,PT,2022-09-06 04:42:33,32.6667,-17.1,70.72,71,0,2.77,clear sky
19,Maniitsoq,GL,2022-09-06 04:42:34,65.4167,-52.9,39.31,94,100,15.19,light rain
20,Kaitangata,NZ,2022-09-06 04:42:34,-46.2817,169.8464,45.66,67,75,12.46,broken clouds
21,Hermanus,ZA,2022-09-06 04:42:34,-34.4187,19.2345,46.8,79,22,6.04,few clouds
22,Gwadar,PK,2022-09-06 04:42:35,25.1216,62.3254,81.18,75,98,6.96,overcast clouds
23,Kavarna,BG,2022-09-06 04:42:35,43.4333,28.3333,59.58,79,55,7.25,broken clouds
24,Port Elizabeth,ZA,2022-09-06 04:42:35,-33.918,25.5701,55.69,65,20,16.11,few clouds
25,Iqaluit,CA,2022-09-06 04:42:35,63.7506,-68.5145,38.93,86,75,3.44,broken clouds
26,Sztum,PL,2022-09-06 04:37:41,53.9208,19.0307,47.34,71,70,5.3,broken clouds
27,Tahe,CN,2022-09-06 04:42:36,52.3333,124.7333,64.31,33,29,3.24,scattered clouds
28,Chuy,UY,2022-09-06 04:42:36,-33.6971,-53.4616,48.65,94,5,5.95,clear sky
29,Poum,NC,2022-09-06 04:42:36,-20.2333,164.0167,68.47,82,100,12.24,overcast clouds
30,Hobart,AU,2022-09-06 04:42:11,-42.8794,147.3294,53.06,72,40,10.36,scattered clouds
31,Samarai,PG,2022-09-06 04:42:37,-10.6167,150.6667,82.94,73,1,11.14,clear sky
32,Bluff,NZ,2022-09-06 04:42:37,-46.6,168.3333,41.81,74,100,21.43,light rain
33,Khatanga,RU,2022-09-06 04:42:37,71.9667,102.5,42.4,91,100,9.57,light rain
34,Shache,CN,2022-09-06 04:42:38,38.4167,77.2406,85.44,13,47,5.12,scattered clouds
35,Saskylakh,RU,2022-09-06 04:42:38,71.9167,114.0833,46.44,68,100,14.85,overcast clouds
36,Naze,JP,2022-09-06 04:42:38,28.3667,129.4833,83.32,81,100,7.74,light rain
37,Torbay,CA,2022-09-06 04:42:39,47.6666,-52.7314,60.28,95,100,14.0,light intensity drizzle
