City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-08-30 20:05:35,-33.918,25.5701,51.31,78,8,1.01
1,Atuona,PF,2022-08-30 20:03:29,-9.8,-139.0333,77.14,65,6,22.48
2,Kindu,CD,2022-08-30 20:05:35,-2.95,25.95,67.64,98,73,1.19
3,Hanna,CA,2022-08-30 20:05:36,51.6334,-111.9018,86.86,27,0,1.01
4,Albany,US,2022-08-30 20:05:36,42.6001,-73.9662,86.59,44,100,10.58
5,Samarai,PG,2022-08-30 20:05:36,-10.6167,150.6667,79.47,86,46,13.09
6,Hobart,AU,2022-08-30 20:05:36,-42.8794,147.3294,52.05,76,40,13.8
7,Talnakh,RU,2022-08-30 20:05:37,69.4865,88.3972,40.23,89,100,3.71
8,Broome,US,2022-08-30 20:05:37,42.2506,-75.833,78.69,89,100,5.01
9,Hithadhoo,MV,2022-08-30 20:05:37,-0.6,73.0833,81.23,72,100,14.9
10,Mitsamiouli,KM,2022-08-30 20:05:38,-11.3847,43.2844,75.79,76,0,6.17
11,Severo-Kurilsk,RU,2022-08-30 20:05:38,50.6789,156.125,54.23,84,0,10.78
12,Rodrigues Alves,BR,2022-08-30 20:05:38,-7.738,-72.6509,92.5,30,45,3.18
13,Sistranda,NO,2022-08-30 20:05:39,63.7256,8.834,49.96,75,53,17.22
14,Ponta Do Sol,PT,2022-08-30 20:05:39,32.6667,-17.1,73.0,66,2,7.07
15,Saint-Philippe,RE,2022-08-30 20:05:39,-21.3585,55.7679,71.19,81,33,8.16
16,Marsh Harbour,BS,2022-08-30 20:05:37,26.5412,-77.0636,85.53,68,5,13.0
17,Cape Town,ZA,2022-08-30 20:05:39,-33.9258,18.4232,57.9,51,0,11.01
18,Port Alfred,ZA,2022-08-30 20:05:40,-33.5906,26.891,55.18,62,5,5.37
19,Bengkulu,ID,2022-08-30 20:05:40,-3.8004,102.2655,75.2,91,82,3.65
20,Provideniya,RU,2022-08-30 20:05:40,64.3833,-173.3,48.43,98,100,12.01
21,Ust-Nera,RU,2022-08-30 20:05:41,64.5667,143.2,48.0,66,81,2.51
22,Ushuaia,AR,2022-08-30 20:05:41,-54.8,-68.3,49.66,53,20,4.61
23,Yilan,TW,2022-08-30 20:05:41,24.757,121.753,82.02,99,45,3.42
24,Ikornnes,NO,2022-08-30 20:05:42,62.3873,6.557,58.75,85,3,4.72
25,Lebu,CL,2022-08-30 20:05:42,-37.6167,-73.65,53.6,83,100,4.25
26,Tuktoyaktuk,CA,2022-08-30 20:05:42,69.4541,-133.0374,49.1,79,20,4.18
27,Busselton,AU,2022-08-30 20:03:24,-33.65,115.3333,50.04,81,30,8.66
28,Barrow,US,2022-08-30 20:05:43,71.2906,-156.7887,39.22,87,100,5.75
29,Hilo,US,2022-08-30 20:05:43,19.7297,-155.09,85.28,73,75,1.99
30,Yellowknife,CA,2022-08-30 20:05:43,62.456,-114.3525,59.16,58,100,17.16
31,Honningsvag,NO,2022-08-30 20:05:44,70.9821,25.9704,46.15,87,100,8.05
32,East London,ZA,2022-08-30 20:05:44,-33.0153,27.9116,56.1,56,6,10.16
33,Victoria,HK,2022-08-30 20:00:54,22.2855,114.1577,85.32,87,12,8.99
34,Dikson,RU,2022-08-30 20:03:23,73.5069,80.5464,40.59,96,100,15.01
35,Mjolby,SE,2022-08-30 20:05:44,58.326,15.1237,55.11,70,100,4.76
36,Rikitea,PF,2022-08-30 20:05:45,-23.1203,-134.9692,73.81,80,8,10.67
37,Vaini,TO,2022-08-30 20:05:45,-21.2,-175.2,69.96,94,75,11.5
38,Ukiah,US,2022-08-30 20:05:45,39.1502,-123.2078,98.44,28,0,11.5
39,Grand-Santi,GF,2022-08-30 20:05:46,4.25,-54.3833,80.38,84,100,1.97
40,Songjianghe,CN,2022-08-30 20:05:46,42.1859,127.479,47.14,96,0,2.59
41,Saint George,US,2022-08-30 20:04:43,37.1041,-113.5841,104.43,17,0,3.44
42,Souillac,MU,2022-08-30 20:05:47,-20.5167,57.5167,68.92,79,4,10.47
43,Kapaa,US,2022-08-30 20:01:54,22.0752,-159.319,83.1,75,49,4.0
44,Mende,FR,2022-08-30 20:05:47,44.6667,3.5,54.03,94,22,4.25
45,Maragogi,BR,2022-08-30 20:05:47,-9.0122,-35.2225,74.77,74,22,14.88
46,Terracina,IT,2022-08-30 20:06:48,41.2863,13.2217,78.35,91,0,1.99
47,Arraial Do Cabo,BR,2022-08-30 20:06:48,-22.9661,-42.0278,66.06,55,40,6.91
48,Okmulgee,US,2022-08-30 20:06:48,35.6234,-95.9605,94.84,49,40,8.05
49,Mar Del Plata,AR,2022-08-30 20:01:53,-38.0023,-57.5575,62.87,58,0,15.01
50,Lovozero,RU,2022-08-30 20:06:49,68.005,35.0117,37.69,87,88,4.9
51,Hoi An,VN,2022-08-30 20:06:49,15.8794,108.335,78.76,90,81,5.77
52,New Norfolk,AU,2022-08-30 20:06:49,-42.7826,147.0587,51.71,80,100,4.0
53,Muros,ES,2022-08-30 20:06:49,42.7762,-9.0603,67.68,88,0,1.48
54,Torbay,CA,2022-08-30 20:03:20,47.6666,-52.7314,75.76,70,59,6.35
55,The Valley,AI,2022-08-30 20:06:50,18.217,-63.0578,87.66,72,14,13.18
56,Los Llanos De Aridane,ES,2022-08-30 20:04:38,28.6585,-17.9182,71.35,88,75,16.11
57,Tasiilaq,GL,2022-08-30 20:06:50,65.6145,-37.6368,42.96,98,100,17.02
58,Bilgi,IN,2022-08-30 20:06:50,16.35,75.6167,79.93,73,94,4.23
59,Mahebourg,MU,2022-08-30 20:06:51,-20.4081,57.7,66.25,76,7,11.41
60,Punta Arenas,CL,2022-08-30 20:02:40,-53.15,-70.9167,44.26,82,93,12.06
61,Padang,ID,2022-08-30 20:06:51,-0.9492,100.3543,76.12,87,97,2.57
62,Mikhaylovka,RU,2022-08-30 20:06:52,50.06,43.2379,77.7,36,83,1.7
63,Taoudenni,ML,2022-08-30 20:06:52,22.6783,-3.9836,100.76,23,0,3.83
64,Mataura,NZ,2022-08-30 20:06:52,-46.1927,168.8643,43.48,91,15,3.47
65,Codrington,AU,2022-08-30 20:06:52,-38.2667,141.9667,45.14,92,76,8.81
66,Booue,GA,2022-08-30 20:06:53,-0.0921,11.9385,79.59,68,72,1.5
67,Te Anau,NZ,2022-08-30 20:06:53,-45.4167,167.7167,41.83,90,99,3.06
68,Saurimo,AO,2022-08-30 20:06:53,-9.6608,20.3916,71.17,55,21,4.16
69,Tessalit,ML,2022-08-30 20:02:13,20.1986,1.0114,98.51,12,35,17.76
70,Hermanus,ZA,2022-08-30 20:06:54,-34.4187,19.2345,54.81,65,0,27.78
71,Bredasdorp,ZA,2022-08-30 20:06:54,-34.5322,20.0403,53.22,67,0,18.48
72,Linxia,CN,2022-08-30 20:06:55,35.6003,103.2064,56.07,63,95,2.33
73,Comodoro Rivadavia,AR,2022-08-30 20:06:55,-45.8667,-67.5,60.66,39,0,10.36
74,Constitucion,CL,2022-08-30 20:06:55,-35.3333,-72.4167,56.14,73,92,5.97
75,Ahuimanu,US,2022-08-30 20:06:55,21.4447,-157.8378,84.78,65,40,5.01
76,Kaitangata,NZ,2022-08-30 20:06:56,-46.2817,169.8464,42.55,82,73,4.03
77,Celestun,MX,2022-08-30 20:06:56,20.8667,-90.4,85.77,68,98,15.61
78,Jamestown,US,2022-08-30 20:05:59,42.097,-79.2353,72.95,72,100,8.05
79,Poya,NC,2022-08-30 20:06:57,-21.35,165.15,67.24,77,14,5.86
80,La Estancia,MX,2022-08-30 20:06:57,20.4167,-100.0667,76.42,49,100,4.76
81,Wanxian,CN,2022-08-30 20:06:57,30.8039,108.3897,69.94,96,100,3.24
82,Iqaluit,CA,2022-08-30 20:06:58,63.7506,-68.5145,49.73,61,20,8.05
83,Chokurdakh,RU,2022-08-30 20:06:58,70.6333,147.9167,31.6,87,19,7.49
84,Carnarvon,AU,2022-08-30 20:06:58,-24.8667,113.6333,63.82,61,33,15.5
85,Avarua,CK,2022-08-30 20:06:58,-21.2078,-159.775,75.25,83,29,5.75
86,Lata,PT,2022-08-30 20:06:59,40.1629,-8.3327,59.22,78,0,3.51
87,Bluff,NZ,2022-08-30 20:06:59,-46.6,168.3333,43.81,80,30,14.05
88,Zhanaozen,KZ,2022-08-30 20:06:59,43.3,52.8,81.79,17,0,5.77
89,Businga,CD,2022-08-30 20:07:00,3.3333,20.8833,70.34,98,98,1.25
90,Beringovskiy,RU,2022-08-30 20:07:00,63.05,179.3167,51.03,90,100,4.32
91,Kletskaya,RU,2022-08-30 20:07:00,49.3145,43.0584,75.61,29,100,4.92
92,Port Macquarie,AU,2022-08-30 20:06:45,-31.4333,152.9167,53.89,100,10,0.0
93,Saskylakh,RU,2022-08-30 20:08:01,71.9167,114.0833,40.66,88,100,5.08
94,Opuwo,NA,2022-08-30 20:08:01,-18.0607,13.84,68.67,37,56,7.25
95,Ambulu,ID,2022-08-30 20:08:02,-8.345,113.6058,74.16,93,44,1.28
96,Whitefish,US,2022-08-30 20:03:33,48.4111,-114.3376,84.0,32,0,5.75
97,Leningradskiy,RU,2022-08-30 20:08:02,69.3833,178.4167,34.56,96,100,10.42
98,Bilibino,RU,2022-08-30 20:08:02,68.0546,166.4372,34.39,88,100,9.82
99,Memaliaj,AL,2022-08-30 20:08:03,40.3517,19.9803,70.02,79,85,4.0
100,Sao Jose Da Coroa Grande,BR,2022-08-30 20:08:03,-8.8978,-35.1478,75.29,73,20,15.75
101,Itoman,JP,2022-08-30 20:08:03,26.1247,127.6694,84.58,82,20,17.27
102,Lorengau,PG,2022-08-30 20:08:03,-2.0226,147.2712,81.21,78,34,7.47
103,Pangnirtung,CA,2022-08-30 20:08:04,66.1451,-65.7125,47.17,48,0,3.6
104,Norman Wells,CA,2022-08-30 20:03:28,65.282,-126.8329,59.9,74,100,3.67
105,Arrecife,ES,2022-08-30 20:06:39,28.963,-13.5477,78.78,73,0,17.27
106,Butaritari,KI,2022-08-30 20:08:04,3.0707,172.7902,81.64,75,13,19.04
107,Olinda,BR,2022-08-30 20:08:04,-8.0089,-34.8553,78.53,69,40,19.57
108,Ostrovnoy,RU,2022-08-30 20:08:05,68.0531,39.5131,45.36,76,99,10.51
109,Atar,MR,2022-08-30 20:08:05,20.5169,-13.0499,83.39,59,100,2.53
110,Waipawa,NZ,2022-08-30 20:08:05,-41.4122,175.5153,39.67,82,2,6.71
111,Turbat,PK,2022-08-30 20:08:06,26.0023,63.044,83.12,64,31,6.06
112,Chikwawa,MW,2022-08-30 20:08:06,-16.0335,34.8009,75.7,55,0,12.17
113,Vao,NC,2022-08-30 20:08:06,-22.6667,167.4833,69.82,67,16,20.96
114,Port-Gentil,GA,2022-08-30 20:08:07,-0.7193,8.7815,78.76,83,75,12.66
115,Saint-Georges,GD,2022-08-30 20:08:07,12.0564,-61.7485,84.15,69,100,11.68
